node,degree,strength,betweenness,closeness,clustering,community
Abel Borges,3,3,0.0,0.0,0.3333333333333333,78
Geiza Silva,3,3,0.0,0.0,0.3333333333333333,78
Jorge Figueroa-Zúñiga,3,3,0.0,0.0,0.3333333333333333,79
Rodrigo Sanhueza-Parkes,3,3,0.0,0.0,0.3333333333333333,79
Bernardo Lagos-Álvarez,3,3,0.0,0.0,0.3333333333333333,79
Germán Ibacache-Pulgar,3,3,0.0,0.0,0.3333333333333333,79
Lucas de Oliveira Ferreira de Sales,3,3,0.0,0.16299559471365638,0.3333333333333333,32
Andre Lu ´ ´ıs Santos de Pinho,3,3,0.0,0.16299559471365638,0.3333333333333333,32
Francisco Moises C ´ andido de Medeiros,3,3,0.0,0.16299559471365638,0.3333333333333333,32
Mohammed K. Attouch,3,3,0.0,0.0,0.3333333333333333,75
Salah Khardani,3,3,0.0,0.0,0.3333333333333333,75
Ali Righi,3,3,0.0,0.0,0.3333333333333333,75
Víctor Leiva,3,3,0.0,0.22289156626506024,0.3824721744786009,32
Cecilia Castro,3,3,0.0,0.22289156626506024,0.3824721744786009,32
Cristian Tellez-Piñérez,3,3,0.0,0.0,0.3333333333333333,98
Leonardo Trujillo,3,3,0.0,0.0,0.3333333333333333,98
Juan Sosa,3,3,0.0,0.0,0.3333333333333333,98
Andres Gutiérrez-Rojas,3,3,0.0,0.0,0.3333333333333333,98
Marc G. Genton,2,2,0.00014427175552495246,0.0,0.0,5
Munaf Y. Hmood,2,2,1.3115614138632041e-05,0.0,0.0,31
Daniel Furtado Ferreira,2,2,1.3115614138632041e-05,0.0,0.0,77
Elijah Gaioni,2,2,0.0,0.0,0.3333333333333333,3
Dipak Dey,2,2,0.0,0.0,0.3333333333333333,3
Fabrizio Ruggeri,2,2,0.0,0.0,0.3333333333333333,3
Rosangela H. Loschi,2,2,0.0,0.0,0.3333333333333333,8
Jeanne G. Pontel,2,2,0.0,0.0,0.3333333333333333,8
Frederico R. B. Cruz,2,2,0.0,0.0,0.3333333333333333,8
Pranab K. Sen,2,2,0.0,0.0,0.3333333333333333,9
Ibrahim A. Salama,2,2,0.0,0.0,0.3333333333333333,9
Dana Quade,2,2,0.0,0.0,0.3333333333333333,9
Abraao D.C. Nascimento,2,2,0.0,0.0,0.3333333333333333,17
Renato J. Cintra,2,2,0.0,0.0,0.3333333333333333,17
Luis Gustavo Bastos Pinho,2,2,0.0,0.0,0.3333333333333333,21
Juvencio Santos Nobre,2,2,0.0,0.0,0.3333333333333333,21
S´ılvia Maria de Freitas,2,2,0.0,0.0,0.3333333333333333,21
Lutemberg Florencio,2,2,0.0,0.0,0.3333333333333333,78
Marcos Oliveira Prates,2,2,0.0,0.0,0.3333333333333333,25
Dipak Kumar Dey,2,2,0.0,0.0,0.3333333333333333,25
Victor Hugo Lachos,2,2,0.0,0.0,0.3333333333333333,25
Alexander R. de Leon,2,2,0.0,0.0,0.3333333333333333,30
Hamed Mahmoodian,2,2,0.0,0.0,0.3333333333333333,30
Ahad Jamalizadeh,2,2,0.0,0.0,0.3333333333333333,30
Vicente G. Cancho,2,2,0.0,0.2138728323699422,0.3333333333333333,41
Ana Percontini,2,2,0.0,0.24422442244224424,0.3333333333333333,91
Betsabé Blas,2,2,0.0,0.24422442244224424,0.3333333333333333,91
Thomas Dietrich,2,2,0.0,0.0,0.3333333333333333,5
Steve Kalke,2,2,0.0,0.0,0.3333333333333333,5
José C. Fogo,2,2,0.0,0.1574468085106383,0.3333333333333333,41
Guillermo Ferreira,2,2,0.0,0.0,0.3333333333333333,33
Ricardo Olea,2,2,0.0,0.0,0.3333333333333333,33
Wilfredo Palma,2,2,0.0,0.0,0.3333333333333333,33
M. Al-Rawwash,2,2,0.0,0.0,0.3333333333333333,37
M. T. Alodat,2,2,0.0,0.0,0.3333333333333333,37
N. Odat,2,2,0.0,0.0,0.3333333333333333,37
S. Nayeban,2,2,0.0,0.0,0.3333333333333333,38
A.H. Rezaei Roknabadi,2,2,0.0,0.0,0.3333333333333333,38
Mohtashami Borzadaran,2,2,0.0,0.0,0.3333333333333333,38
Eder Angelo Milani,2,2,0.0,0.13703703703703704,0.3333333333333333,41
